name,price,quantity,date
Bagel - Whole White Sesame,430,97,2018-11-01
Sauce - Caesar Dressing,825,16,2018-12-28
Shiratamako - Rice Flour,799,71,2018-03-07
Tart - Raisin And Pecan,106,86,2019-01-18
Radish,247,22,2018-11-06
Juice - V8 Splash,115,67,2018-01-10
Red Currants,677,49,2018-10-01
Soup - Base Broth Beef,544,62,2019-03-09
Tomatoes Tear Drop Yellow,64,73,2019-02-09
Mussels - Cultivated,934,24,2018-07-31
"Bread - Crumbs, Bulk",449,88,2019-01-12
"Beans - Long, Chinese",473,47,2018-09-22
"Beans - Navy, Dry",460,44,2018-01-20
"Basil - Dry, Rubbed",869,21,2018-02-04
Apple - Granny Smith,506,72,2018-01-12
"Lid - High Heat, Super Clear",123,5,2018-02-09
Oranges - Navel,478,46,2018-06-06
Berry Brulee,759,50,2018-08-25
Lobster - Canned Premium,761,57,2018-04-15
Ham - Procutinni,570,8,2019-01-09
Veal - Ground,767,5,2018-12-19
Oil - Cooking Spray,420,6,2018-06-11
"Extract - Vanilla,artificial",291,20,2018-06-08
"Mushroom - Porcini, Dry",814,71,2018-07-26
Wine - Chateau Bonnet,741,54,2018-03-10
Culcul,10000,1,2021-04-21
